study,topology,scenario,eta,k,n_seeds,n_requests_total,mean_success_rate,std_success_rate,ci95_low,ci95_high
study_eta_sanity,nsfnet,DQT,0.05,0,10,2000,0.028000000000000004,0.0025819888974716104,0.026399666701381663,0.029600333298618345
study_eta_sanity,nsfnet,DQT,0.95,0,10,2000,0.028000000000000004,0.0025819888974716104,0.026399666701381663,0.029600333298618345
study_eta_sanity,nsfnet,EQT,0.05,0,10,2000,0.028000000000000004,0.0025819888974716104,0.026399666701381663,0.029600333298618345
study_eta_sanity,nsfnet,EQT,0.95,0,10,2000,0.028000000000000004,0.0025819888974716104,0.026399666701381663,0.029600333298618345
study_topology_sweep,NSFNET13,BK,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,NSFNET13,EQT,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,NSFNET13,EQT_UPGRADE,0.8,1,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,TOP_0_SANET,BK,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,TOP_0_SANET,EQT,0.8,0,30,6000,0.00016666666666666666,0.000912870929175277,-0.00016,0.0004933333333333334
study_topology_sweep,TOP_0_SANET,EQT_UPGRADE,0.8,1,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,TOP_103_GEANT,BK,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,TOP_103_GEANT,EQT,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_topology_sweep,TOP_103_GEANT,EQT_UPGRADE,0.8,1,30,6000,0.0,0.0,0.0,0.0
study_transducer_availability,nsfnet,BK,0.6,0,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
study_transducer_availability,nsfnet,BK,0.8,0,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
study_transducer_availability,nsfnet,BK,0.9,0,30,6000,0.024333333333333332,0.003144051124149283,0.023208249087871252,0.02545841757879541
study_transducer_availability,nsfnet,DQT,0.6,0,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
study_transducer_availability,nsfnet,DQT,0.8,0,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
study_transducer_availability,nsfnet,DQT,0.9,0,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
study_transducer_availability,nsfnet,EQT,0.6,0,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
study_transducer_availability,nsfnet,EQT,0.8,0,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
study_transducer_availability,nsfnet,EQT,0.9,0,30,6000,0.028,0.0024913643956121978,0.02710847670075121,0.02889152329924879
study_upgrade_k,nsfnet,BK,0.6,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,BK,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,BK,0.9,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.6,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.6,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.6,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.6,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.6,8,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.8,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.8,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.8,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.8,8,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.9,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.9,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.9,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.9,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,DQT,0.9,8,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.6,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.6,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.6,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.6,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.6,8,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.8,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.8,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.8,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.8,4,29,5800,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT,0.9,0,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.6,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.6,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.6,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.6,8,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.8,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.8,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.8,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.8,8,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.9,1,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.9,2,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.9,4,30,6000,0.0,0.0,0.0,0.0
study_upgrade_k,nsfnet,EQT_UPGRADE,0.9,8,30,6000,0.0,0.0,0.0,0.0
